id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
controlguide823,1,0.35229,0.35247,1.0,10632,1,0.64771,0.64773,0.985939,13192,0
EPB41L5,4,0.35302,0.56222,1.0,10633,2,0.87085,0.87114,0.998928,17539,0
STON2,4,0.35311,0.56228,1.0,10634,2,0.21442,0.22439,0.985705,4511,1
DRD2,4,0.35311,0.56228,1.0,10635,2,0.76019,0.76037,0.989886,15442,0
WDR59,4,0.35311,0.56228,1.0,10636,2,0.10311,0.13376,0.985705,2649,1
controlguide704,1,0.35323,0.3534,1.0,10637,1,0.64677,0.64676,0.985939,13177,0
PITX2,4,0.35342,0.5625,1.0,10638,2,0.71055,0.71063,0.986998,14472,0
2011-09-01 00:00:00,4,0.35342,0.5625,1.0,10639,2,0.61317,0.61291,0.985705,12474,0
LCE2C,4,0.35354,0.56258,1.0,10640,2,0.059997,0.10092,0.985705,1968,1
EN1,4,0.35374,0.56273,1.0,10641,2,0.67071,0.67059,0.986183,13669,0
POLR3H,4,0.35383,0.56278,1.0,10642,2,0.88312,0.88342,0.999069,17769,0
SMIM17,4,0.35436,0.56318,1.0,10643,2,0.60804,0.60775,0.985705,12372,0
CNGB3,4,0.35436,0.56318,1.0,10644,2,0.36683,0.36642,0.985705,7419,0
PPP1R1C,4,0.35452,0.5633,1.0,10645,2,0.088681,0.12259,0.985705,2423,1
CFB,4,0.35452,0.5633,1.0,10646,2,0.83966,0.84001,0.995896,16961,0
TXNRD1,4,0.35454,0.56331,1.0,10647,2,0.34142,0.34098,0.985705,6890,0
controlguide583,1,0.35465,0.35484,1.0,10648,1,0.64535,0.64536,0.985939,13144,0
JPH1,4,0.35473,0.56345,1.0,10649,2,0.090298,0.12383,0.985705,2450,1
TFAP2B,4,0.35488,0.56356,1.0,10650,2,0.74191,0.74218,0.989886,15051,0
CAPZB,4,0.35547,0.56394,1.0,10651,2,0.7213,0.72148,0.988277,14682,0
NSUN7,4,0.35547,0.56394,1.0,10652,2,0.32465,0.32475,0.985705,6562,1
PPP1R2,4,0.35547,0.56394,1.0,10653,2,0.62525,0.62511,0.985939,12745,0
ZAR1L,4,0.35547,0.56394,1.0,10654,2,0.80252,0.80292,0.993673,16243,0
CD33,4,0.35547,0.56394,1.0,10655,2,0.34578,0.34531,0.985705,6983,1
FOXN4,4,0.35547,0.56394,1.0,10656,2,0.55066,0.55039,0.985705,11213,0
